word,level,language,source
START,A1,de,Goethe
hörden,A1,de,Goethe
Es,A1,de,Goethe
Deutsch,A1,de,Goethe
bung,A1,de,Goethe
systeme,A1,de,Goethe
Gemeinsamen,A1,de,Goethe
Kompetenzskala,A1,de,Goethe
Sprachbeherrschung,A1,de,Goethe
Sprache,A1,de,Goethe
schen,A1,de,Goethe
wenn,A1,de,Goethe
nen,A1,de,Goethe
Hälfte,A1,de,Goethe
Zunächst,A1,de,Goethe
gesehen,A1,de,Goethe
Zahlen,A1,de,Goethe
Zusammenstellung,A1,de,Goethe
wird,A1,de,Goethe
dungen,A1,de,Goethe
sofort,A1,de,Goethe
Appetit,A1,de,Goethe
schieden,A1,de,Goethe
erschließbar,A1,de,Goethe
danken,A1,de,Goethe
zusätzlich,A1,de,Goethe
Teil,A1,de,Goethe
Sie,A1,de,Goethe
übung,A1,de,Goethe
Sprachkurses,A1,de,Goethe
Michaela,A1,de,Goethe
In,A1,de,Goethe
zusammengestellt,A1,de,Goethe
Person,A1,de,Goethe
wohnen,A1,de,Goethe
umwelt,A1,de,Goethe
Dienstleistungen,A1,de,Goethe
wortschatz,A1,de,Goethe
Listen,A1,de,Goethe
eine,A1,de,Goethe
Ausgenommen,A1,de,Goethe
Hör-,A1,de,Goethe
sinntragend,A1,de,Goethe
Wortbildung,A1,de,Goethe
Als,A1,de,Goethe
Bedeutung,A1,de,Goethe
ka,A1,de,Goethe
Aufgenommen,A1,de,Goethe
gaben,A1,de,Goethe
ergänzen,A1,de,Goethe
chen,A1,de,Goethe
unterschieden,A1,de,Goethe
ausländisch,A1,de,Goethe
aufgelistet,A1,de,Goethe
Kunde,A1,de,Goethe
Komposita,A1,de,Goethe
men,A1,de,Goethe
Beispiel,A1,de,Goethe
Pluralformen,A1,de,Goethe
zentrale,A1,de,Goethe
dritte,A1,de,Goethe
Außerdem,A1,de,Goethe
Nationes,A1,de,Goethe
John,A1,de,Goethe
wortgruppenliste,A1,de,Goethe
Datum,A1,de,Goethe
heute,A1,de,Goethe
Berlin,A1,de,Goethe
uhrzeit,A1,de,Goethe
zeitmaße,A1,de,Goethe
währungen,A1,de,Goethe
maße,A1,de,Goethe
ein,A1,de,Goethe
zweihundert,A1,de,Goethe
vier,A1,de,Goethe
Deutschland,A1,de,Goethe
Angabe,A1,de,Goethe
Land,A1,de,Goethe
Finnland,A1,de,Goethe
Mexiko,A1,de,Goethe
Farben,A1,de,Goethe
schwarz,A1,de,Goethe
weiß,A1,de,Goethe
Himmelsrichtungen,A1,de,Goethe
Alphabetische,A1,de,Goethe
aber,A1,de,Goethe
abfahren,A1,de,Goethe
abgeben,A1,de,Goethe
abholen,A1,de,Goethe
Achtung,A1,de,Goethe
all-,A1,de,Goethe
allein,A1,de,Goethe
also,A1,de,Goethe
alt,A1,de,Goethe
an,A1,de,Goethe
anbieten,A1,de,Goethe
ander-,A1,de,Goethe
anfangen,A1,de,Goethe
anklicken,A1,de,Goethe
ankommen,A1,de,Goethe
ankreuzen,A1,de,Goethe
anmachen,A1,de,Goethe
sich,A1,de,Goethe
anrufen,A1,de,Goethe
beantworter,A1,de,Goethe
antworten,A1,de,Goethe
arbeiten,A1,de,Goethe
arbeitslos,A1,de,Goethe
auch,A1,de,Goethe
auf,A1,de,Goethe
aufhören,A1,de,Goethe
aufstehen,A1,de,Goethe
aus,A1,de,Goethe
ausfüllen,A1,de,Goethe
ausmachen,A1,de,Goethe
aussehen,A1,de,Goethe
aussteigen,A1,de,Goethe
automatisch,A1,de,Goethe
baden,A1,de,Goethe
bald,A1,de,Goethe
bar,A1,de,Goethe
bedeuten,A1,de,Goethe
beginnen,A1,de,Goethe
bei,A1,de,Goethe
beide,A1,de,Goethe
zum,A1,de,Goethe
bekannt,A1,de,Goethe
bekommen,A1,de,Goethe
benutzen,A1,de,Goethe
besetzt,A1,de,Goethe
besichtigen,A1,de,Goethe
besser,A1,de,Goethe
best-,A1,de,Goethe
bestellen,A1,de,Goethe
besuchen,A1,de,Goethe
bezahlen,A1,de,Goethe
billig,A1,de,Goethe
bis,A1,de,Goethe
bisschen,A1,de,Goethe
bitte,A1,de,Goethe
bitten,A1,de,Goethe
bitter,A1,de,Goethe
bleiben,A1,de,Goethe
böse,A1,de,Goethe
brauchen,A1,de,Goethe
breit,A1,de,Goethe
bringen,A1,de,Goethe
buchstabieren,A1,de,Goethe
da,A1,de,Goethe
daneben,A1,de,Goethe
danke,A1,de,Goethe
dann,A1,de,Goethe
dauern,A1,de,Goethe
