word,reading,meaning,level,language,source
expression,reading,meaning,N1,ja,JLPT (open-anki-jlpt-decks)
現像,げんぞう,developing (film),N1,ja,JLPT (open-anki-jlpt-decks)
原則,げんそく,"principle, general rule",N1,ja,JLPT (open-anki-jlpt-decks)
見地,けんち,point of view,N1,ja,JLPT (open-anki-jlpt-decks)
現地,げんち,"actual place, local",N1,ja,JLPT (open-anki-jlpt-decks)
限定,げんてい,"limit, restriction",N1,ja,JLPT (open-anki-jlpt-decks)
原点,げんてん,"origin (coordinates, starting point)",N1,ja,JLPT (open-anki-jlpt-decks)
原典,げんてん,"original, source",N1,ja,JLPT (open-anki-jlpt-decks)
原爆,げんばく,atomic bomb,N1,ja,JLPT (open-anki-jlpt-decks)
原文,げんぶん,"the text, original",N1,ja,JLPT (open-anki-jlpt-decks)
厳密,げんみつ,"strict, close",N1,ja,JLPT (open-anki-jlpt-decks)
賢明,けんめい,"wisdom, intelligence, prudence",N1,ja,JLPT (open-anki-jlpt-decks)
倹約,けんやく,"thrift, economy, frugality",N1,ja,JLPT (open-anki-jlpt-decks)
原油,げんゆ,crude oil,N1,ja,JLPT (open-anki-jlpt-decks)
兼用,けんよう,"multi-use, combined use",N1,ja,JLPT (open-anki-jlpt-decks)
権力,けんりょく,"(political) power, authority, influence",N1,ja,JLPT (open-anki-jlpt-decks)
言論,げんろん,"discussion, speech",N1,ja,JLPT (open-anki-jlpt-decks)
故～,こ～,"deceased, late",N1,ja,JLPT (open-anki-jlpt-decks)
語彙,ごい,"vocabulary, glossary",N1,ja,JLPT (open-anki-jlpt-decks)
恋する,こいする,"to fall in love with, to love",N1,ja,JLPT (open-anki-jlpt-decks)
甲,こう,1st in rank; shell,N1,ja,JLPT (open-anki-jlpt-decks)
～光,～こう,light,N1,ja,JLPT (open-anki-jlpt-decks)
好意,こうい,"good will, favor, courtesy",N1,ja,JLPT (open-anki-jlpt-decks)
行為,こうい,"act, deed, conduct",N1,ja,JLPT (open-anki-jlpt-decks)
合意,ごうい,"agreement, consent, mutual understanding",N1,ja,JLPT (open-anki-jlpt-decks)
工学,こうがく,engineering,N1,ja,JLPT (open-anki-jlpt-decks)
抗議,こうぎ,"protest, objection",N1,ja,JLPT (open-anki-jlpt-decks)
合議,ごうぎ,"consultation, conference",N1,ja,JLPT (open-anki-jlpt-decks)
皇居,こうきょ,Imperial Palace,N1,ja,JLPT (open-anki-jlpt-decks)
好況,こうきょう,"prosperous conditions, healthy economy",N1,ja,JLPT (open-anki-jlpt-decks)
