Kanji,Reading,Meaning,Level
嗚呼,ああ,like that; so,1
相,あい,minister (of a government department); one's nature,1
相変わらず,あいかわらず,as usual; as always,1
愛想,あいそ,amiability; friendliness,1
相対,あいたい,involving only the parties concerned; tete-a-tete,1
間柄,あいだがら,relationship; relation,1
愛憎,あいにく,love and hate,1
合間,あいま,interval; break,1
曖昧,あいまい,vague; ambiguous,1
敢えて,あえて,"purposely (of something needless, unexpected or seemingly counterproductive, etc.); daringly (doing something)",1
仰ぐ,あおぐ,to look up (at); to look up to,1
垢,あか,"klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering); account (e.g. for an online service)",1
亜科,あか,subfamily,1
銅,あかがね,copper (Cu); bronze (medal),1
証,あかし,mark; sign,1
赤字,あかじ,(being in) the red; deficit,1
明かす,あかす,to pass (the night); to spend,1
赤ちゃん,あかちゃん,baby; infant,1
明白,あからさま,obvious; clear,1
赤らむ,あからむ,to become red; to redden,1
明るい,あかるい,light; bright,1
上がり,あがり,rise; increase,1
上がる,あがる,to rise; to go up,1
商人,あきうど,merchant; trader,1
空間,あきま,space; room,1
諦め,あきらめ,resignation; acceptance,1
呆れる,あきれる,to be amazed; to be shocked,1
悪,あく,evil; wickedness,1
灰,あく,ash; ashes,1
あくどい,あくどい,gaudy; showy,1
悪日,あくび,unlucky day,1
明くる,あくる,"next (day, morning, etc.); following",1
憧れ,あこがれ,yearning; longing,1
顎,あご,chin; jaw,1
麻,あさ,cannabis (Cannabis sativa); hemp (plant),1
明後日,あさって,day after tomorrow; wrong (e.g. direction),1
朝寝坊,あさねぼう,sleeping late in the morning; sleeping in,1
浅ましい,あさましい,wretched; miserable,1
字,あざ,"Chinese courtesy name (name formerly given to adult Chinese men, used in place of their given name in formal situations); nickname",1
欺く,あざむく,to deceive; to delude,1
鮮やか,あざやか,vivid; bright,1
あざ笑う,あざわらう,to laugh at; to ridicule,1
味わい,あじわい,flavour; flavor,1
東,あずま,east wind tile; winning hand with a pung (or kong) of east wind tiles,1
焦る,あせる,to be in a hurry; to be impatient,1
彼処,あそこ,there; over there,1
値,あたい,level; value,1
値する,あたいする,to be worth; to be worthy of,1
私,あたし,I; me,1
当たり,あたり,hit; success,1
当たり前,あたりまえ,natural; reasonable,1
他人,あだびと,another person; other people,1
彼方此方,あちこち,here and there; various places,1
彼方,あちら,distant place; faraway land,1
彼方此方,あちらこちら,here and there; various places,1
悪化,あっか,deterioration; getting worse,1
呆気ない,あっけない,unsatisfying; disappointing,1
悪口,あっこう,(verbal) abuse; name-calling,1
あっさり,あっさり,easily; readily,1
圧迫,あっぱく,pressure; oppression,1
扱い,あつかい,treatment; service,1
集まる,あつまる,to gather; to collect,1
誂える,あつらえる,to give an order; to place an order,1
圧力,あつりょく,pressure; pressure (e.g. political),1
当て,あて,aim; object,1
宛,あて,aim; object,1
当て字,あてじ,"kanji used as a phonetic symbol, instead of for the meaning; phonetic-equivalent character",1
当てはまる,あてはまる,"to apply (of a rule); to be applicable (of standards, lessons, ideas, etc.)",1
当てはめる,あてはめる,to apply; to adapt,1
宛てる,あてる,to address,1
跡継ぎ,あとつぎ,heir; inheritor,1
後回し,あとまわし,putting off; postponing,1
貴女,あなた,you; dear,1
彼の,あの,that; those,1
溢れる,あふれる,"to fail (in getting a job); to miss out (at fishing, hunting, etc.)",1
油絵,あぶらえ,oil painting,1
炙る,あぶる,to warm (e.g. one's hands over a fire); to dry,1
あべこべ,あべこべ,contrary; opposite,1
甘える,あまえる,to behave like a spoiled child; to fawn on,1
甘口,あまくち,sweet flavour; sweet flavor,1
雨具,あまぐ,rain gear,1
天,あまつ,sky; heaven,1
網,あみ,network; net,1
天地,あめつち,heaven and earth; the universe,1
操る,あやつる,to operate (e.g. a machine); to handle,1
あやふや,あやふや,uncertain; indefinite,1
危ぶむ,あやぶむ,to fear; to doubt,1
過ち,あやまち,fault; error,1
誤る,あやまる,to make a mistake (in); to commit an error,1
歩み,あゆみ,walking; pace,1
歩む,あゆむ,to walk; to go on foot,1
あら,あら,oh!; ah!,1
予め,あらかじめ,beforehand; in advance,1
荒らす,あらす,to lay waste; to devastate,1
粗筋,あらすじ,outline; summary,1
争い,あらそい,fight; dispute,1
改まる,あらたまる,to be renewed; to change,1
荒っぽい,あらっぽい,wild; violent,1
凡ゆる,あらゆる,all; every,1
あられ,あられ,hail (esp. hailballs under 5 mm); graupel,1
現われ,あらわれ,embodiment; manifestation,1
現われる,あらわれる,to appear; to come in sight,1
有難う,ありがとう,thank you; thanks,1
有様,ありさま,state; condition,1
有りのまま,ありのまま,as it is; plain (truth),1
或る,ある,a certain ...; some ...,1
或いは,あるいは,or; either ... or,1
彼此,あれこれ,this and that; this or that,1
合わす,あわす,"to match (rhythm, speed, etc.); to join together",1
合わせ,あわせ,joint together; opposite,1
慌ただしい,あわただしい,busy; hectic,1
慌てる,あわてる,"to become confused (disconcerted, disorganized, disorganised); to be flustered",1
暗殺,あんさつ,assassination,1
暗算,あんざん,mental arithmetic,1
暗示,あんじ,hint; suggestion,1
案じる,あんじる,to be anxious (about); to be concerned (about),1
安静,あんせい,rest; quiet,1
案の定,あんのじょう,as expected; just as one thought,1
余り,あんまり,remainder; remnant,1
依,い,difference (of opinion); strange,1
良い,いい,good; excellent,1
伊井,いい,having fun; rejoicing,1
否,いいえ,no; nay,1
いい加減,いいかげん,irresponsible; perfunctory,1
言い訳,いいわけ,excuse; explanation,1
家出,いえで,running away from home; elopement,1
家主,いえぬし,landlord; landlady,1
如何,いかが,how; in what way,1
生かす,いかす,to make (the best) use of; to put to good use,1
雷,いかずち,thunder; lightning,1
如何に,いかに,how; in what way,1
如何にも,いかにも,indeed; really,1
怒り,いかり,anger; rage,1
怒る,いかる,to get angry; to get mad,1
歪む,いがむ,to warp; to become strained,1
粋,いき,essence; the best,1
域外,いきがい,outside the area,1
意気込む,いきごむ,to be enthusiastic (about); to be eager (to do),1
経緯,いきさつ,length and breadth; length and width,1
行き違い,いきちがい,"crossing without meeting (e.g. letters in the post, people on the road); going astray",1
行き成り,いきなり,abruptly; suddenly,1
異議,いぎ,objection; dissent,1
いく,いく,reverence; awe,1
軍,いくさ,army; armed forces,1
戦,いくさ,war; battle,1
育成,いくせい,rearing; training,1
幾多,いくた,many; numerous,1
活ける,いける,to arrange (flowers); to plant,1
異見,いけん,different opinion; different view,1
意向,いこう,intention; inclination,1
移行,いこう,transition; changeover,1
いざ,いざ,now; come (now),1
碑,いしぶみ,stone monument bearing an inscription (esp. memorial for future generations); stele,1
衣装,いしょう,clothing; costume,1
意地,いじ,stubbornness; obstinacy,1
苛める,いじめる,to ill-treat; to bully,1
移住,いじゅう,migration; move,1
弄る,いじる,"to grope; to feel around (in one's pocket, bag, etc.)",1
何れ,いずれ,which (of three or more); well,1
異性,いせい,the opposite sex; isomerism,1
遺跡,いせき,(archeological) remains; ruins,1
依然,いぜん,still; as yet,1
依存,いそん,dependence; reliance,1
委託,いたく,entrusting (something to a person); consignment (of goods),1
悪戯,いたずら,mischief; prank,1
頂,いただき,crown (of head); summit (of mountain),1
戴きます,いただきます,thank you (for the meal just served),1
至って,いたって,very much; exceedingly,1
痛む,いたむ,to hurt; to ache,1
痛める,いためる,sick; ill,1
炒める,いためる,to fry; to saute,1
労る,いたわる,to pity; to sympathize with,1
市,いち,market; fair,1
位地,いち,place; position,1
一々,いちいち,eleven; 11,1
一概に,いちがいに,unconditionally; as a rule,1
一見,いちげん,look; glimpse,1
一言,いちげん,single word; a few words,1
一日,いちじつ,first day of the month; first ten days of the lunar month,1
一定,いちじょう,to fix; to settle,1
著しい,いちじるしい,striking; remarkable,1
一同,いちどう,all present; all concerned,1
一人,いちにん,one person; being alone,1
一部,いちぶ,one part; one portion,1
一部分,いちぶぶん,one part; one portion,1
一別,いちべつ,parting,1
一面,いちめん,one face; one surface,1
一目,いちもく,glance; look,1
一様,いちよう,uniform; equal,1
一律,いちりつ,uniform; even,1
一連,いちれん,series; chain,1
一括,いっかつ,lumping together; summing up,1
一気,いっき,one breath; chug!,1
一挙に,いっきょに,at a stroke; with a single swoop,1
一切,いっさい,all; everything,1
一心,いっしん,one mind; wholeheartedness,1
いっそ,いっそ,rather; sooner,1
一帯,いったい,whole area; whole region,1
一敗,いっぱい,one defeat,1
一変,いっぺん,complete change; about-face,1
何時,いつ,when; at what time,1
何時か,いつか,sometime; someday,1
何時でも,いつでも,always; all the time,1
何時の間にか,いつのまにか,before one knows; before one becomes aware of,1
何時までも,いつまでも,forever; eternally,1
何時も,いつも,always; all the time,1
意図,いと,intention; aim,1
営む,いとなむ,to run (a business); to operate,1
暇,いとま,(spare) time; free time,1
異動,いどう,(personnel) change; transfer,1
挑む,いどむ,"to challenge to (a fight, game, etc.); to throw down the gauntlet",1
稲光,いなびかり,(flash of) lightning,1
古,いにしえ,antiquity; ancient times,1
祈り,いのり,prayer; supplication,1
鼾,いびき,snoring; snore,1
今更,いまさら,now (when it is already much too late); at this stage,1
未だ,いまだ,still; as yet,1
移民,いみん,immigration; emigration,1
厭々,いやいや,unwillingly; reluctantly,1
卑しい,いやしい,lowborn; humble,1
いやに,いやに,awfully; terribly,1
厭やらしい,いやらしい,unpleasant; disagreeable,1
愈々,いよいよ,more and more; all the more,1
意欲,いよく,will; desire,1
苛々,いらいら,to get irritated; to get annoyed,1
入口,いりくち,entrance; entry,1
衣料,いりょう,clothing,1
威力,いりょく,power; might,1
入る,いる,to enter; to go in,1
衣類,いるい,clothes; clothing,1
色々,いろいろ,various; a variety of,1
異論,いろん,different opinion; objection,1
所謂,いわゆる,what is called; what you call,1
印,いん,stamp; seal,1
員,いん,member,1
印鑑,いんかん,stamp; seal,1
陰気,いんき,gloomy; dismal,1
隠居,いんきょ,retirement (from work); leading a quiet life (after retirement),1
上下,うえした,top and bottom; up and down,1
浮かぶ,うかぶ,to float; to be suspended,1
受かる,うかる,to pass (examination),1
含嗽,うがい,gargling; rinsing one's mouth,1
受け入れ,うけいれ,receiving; acceptance,1
受け入れる,うけいれる,to accept; to receive,1
受け継ぐ,うけつぐ,to inherit; to succeed,1
受け付ける,うけつける,to accept; to receive (an application),1
受け止める,うけとめる,to catch; to stop the blow,1
受け取り,うけとり,receiving; receipt,1
受身,うけみ,the defensive; passive attitude,1
動き,うごき,movement; move,1
潮,うしお,tide; current,1
氏,うじ,Mr; Mrs,1
渦,うず,whirlpool; swirl,1
埋まる,うずまる,to be buried; to be covered,1
嘘つき,うそつき,liar; fibber,1
打ち合わせ,うちあわせ,(preparatory) meeting; briefing session,1
打ち合わせる,うちあわせる,to knock together; to strike against each other,1
打ち切る,うちきる,to stop; to abort,1
打ち消し,うちけし,negation; denial,1
打ち込む,うちこむ,to throw into; to toss into,1
団扇,うちわ,uchiwa,1
内訳,うちわけ,itemization (of expenses); the items,1
訴え,うったえ,lawsuit; complaint,1
鬱陶しい,うっとうしい,gloomy (e.g. mood); depressing,1
写し,うつし,copy; duplicate,1
空ろ,うつろ,cavity; hollow,1
器,うつわ,device; instrument,1
雨天,うてん,rainy weather,1
腕前,うでまえ,ability; skill,1
饂飩,うどん,wonton (Chinese dumpling); won ton,1
促す,うながす,to urge; to encourage,1
唸る,うなる,to groan; to moan,1
自惚れ,うぬぼれ,conceit; vanity,1
甘い,うまい,sweet-tasting; sweet,1
生まれつき,うまれつき,by nature; by birth,1
海路,うみじ,sea route,1
産む,うむ,to give birth; to bear (child),1
埋め込む,うめこむ,to bury; to embed,1
梅干,うめぼし,umeboshi; pickled dried ume,1
末,うら,top end; tip,1
裏返し,うらがえし,inside out; upside down,1
売り出し,うりだし,(bargain) sale,1
売り出す,うりだす,to put on the market; to put out for sale,1
潤う,うるおう,to become moist; to be moistened,1
五月蝿い,うるさい,noisy; loud,1
売れ行き,うれゆき,sales; demand,1
浮気,うわき,extramarital sex; affair,1
上手,うわて,skillful; skilled,1
上回る,うわまわる,"to exceed (esp. figures: profits, unemployment rate, etc.); to surpass",1
植わる,うわる,to be planted,1
運営,うんえい,management; administration,1
うんざり,うんざり,tedious; boring,1
運送,うんそう,transport; freight,1
運賃,うんちん,(passenger) fare; freight rates,1
云々,うんぬん,and so on; and so forth,1
運搬,うんぱん,transport; transportation,1
運命,うんめい,fate; destiny,1
運輸,うんゆ,transportation,1
運用,うんよう,making use of; application,1
会,え,"gathering (esp. Buddhist, festive, etc.); meeting",1
重,え,jūbako; heavy,1
えい,えい,ray (any fish of superorder Batoidea); United Kingdom,1
映写,えいしゃ,projection (on a screen),1
英字,えいじ,English letter; alphabetic character,1
衛生,えいせい,hygiene; sanitation,1
映像,えいぞう,image (on a screen); picture (e.g. on a TV),1
英雄,えいゆう,hero; heroine,1
液,えき,liquid; fluid,1
役,えき,war; campaign,1
閲覧,えつらん,inspection; reading,1
獲物,えもの,prey; catch,1
襟,えり,collar; lapel,1
縁,えん,"edge (of a river, woods, etc.); shoulder (of a road)",1
塩,えん,"salt (e.g. sodium chloride, calcium sulfate, etc.); chloride",1
艶,えん,gloss; luster,1
園,えん,garden; orchard,1
円滑,えんかつ,smooth; undisturbed,1
縁側,えんがわ,engawa; bone at the base of a fin (esp. of a flatfish),1
沿岸,えんがん,coast; shore,1
婉曲,えんきょく,euphemistic; circumlocutory,1
演習,えんしゅう,practice; exercise,1
演出,えんしゅつ,"direction (of a play, film, etc.); production",1
演じる,えんじる,to act (a part); to play (a role),1
演ずる,えんずる,to act (a part); to play (a role),1
沿線,えんせん,"places alongside a railway line, bus route, major thoroughfare, etc.",1
縁談,えんだん,marriage proposal; marriage talks,1
遠方,えんぽう,distant place; faraway location,1
円満,えんまん,harmonious; peaceful,1
尾,お,"Chinese ""Tail"" constellation (one of the 28 mansions); counter for fish, shrimp, etc.",1
於,お,oh! (expression of slight surprise); small,1
甥,おい,nephew,1
追い込む,おいこむ,to herd; to drive,1
美味しい,おいしい,good(-tasting); nice,1
追い出す,おいだす,to expel; to drive out,1
於いて,おいて,at (a time or place); in,1
お出でになる,おいでになる,to be; to come,1
老いる,おいる,to age; to grow old,1
負う,おう,to carry on one's back; to bear,1
応急,おうきゅう,emergency fix; tentative measure,1
黄金,おうごん,gold (Au); golden,1
黄色,おうしょく,yellow; amber,1
応募,おうぼ,application; subscription,1
おおい,おおい,big; large,1
大方,おおかた,large part; greater part,1
大柄,おおがら,arrogant; haughty,1
大げさ,おおげさ,exaggerated; overdone,1
大事,おおごと,serious matter; major incident,1
大ざっぱ,おおざっぱ,"rough (estimate, summary, etc.); broad",1
大筋,おおすじ,outline; summary,1
大空,おおぞら,wide open sky; the blue,1
大幅,おおはば,big; large,1
大水,おおみず,flood,1
公,おおやけ,you; buddy,1
お蔭,おかげ,grace (of God); benevolence (of Buddha),1
お蔭様で,おかげさまで,thankfully; fortunately,1
可笑しい,おかしい,funny; amusing,1
犯す,おかす,to commit (e.g. crime); to perpetrate,1
侵す,おかす,to invade; to raid,1
お菜,おかず,side dish; small dish (usu. one of several accompanying rice),1
臆病,おくびょう,cowardly; timid,1
遅らす,おくらす,to delay; to postpone,1
遅れ,おくれ,delay; lag,1
起こす,おこす,to raise; to raise up,1
行い,おこない,deed; act,1
厳か,おごそか,"solemn (ceremony, atmosphere, etc.); austere",1
傲る,おごる,to be proud; to be haughty,1
長,おさ,office; official,1
押さえる,おさえる,to pin down; to hold down,1
お先に,おさきに,before; previously,1
収まる,おさまる,"to fit into (a box, frame, category, etc.); to be contained within",1
納まる,おさまる,"to fit into (a box, frame, category, etc.); to be contained within",1
治まる,おさまる,"to die down (storm, anger, conflict, etc.); to calm down",1
お産,おさん,(giving) birth; childbirth,1
教え,おしえ,teaching; instruction,1
押し込む,おしこむ,to push into; to cram into,1
惜しむ,おしむ,to spare; to grudge,1
お喋り,おしゃべり,chattering; talk,1
お洒落,おしゃれ,stylish; fashionable,1
押し寄せる,おしよせる,to advance on; to close in,1
お祖父さん,おじいさん,grandfather; male senior-citizen,1
お邪魔します,おじゃまします,please excuse the intrusion; I'm coming in,1
雄,おす,male; manly,1
お世辞,おせじ,flattery; compliment,1
襲う,おそう,to attack; to assail,1
遅くとも,おそくとも,at the latest,1
恐らく,おそらく,probably; (most) likely,1
恐れ,おそれ,fear; horror,1
恐れ入る,おそれいる,to be sorry; to beg someone's pardon,1
お大事に,おだいじに,take care of yourself; get well soon,1
煽てる,おだてる,to flatter; to soft-soap,1
落ち込む,おちこむ,to feel down; to feel sad,1
落ち着き,おちつき,calmness; composure,1
落ち葉,おちば,fallen leaves; leaf litter,1
落ちる,おちる,to fall; to drop,1
おっかない,おっかない,frightening; scary,1
仰っしゃる,おっしゃる,to say; to speak,1
乙,おつ,"(the) second (party, rank, etc.); B (grade)",1
お使い,おつかい,errand; mission,1
お手上げ,おてあげ,being done for; giving up,1
御手洗い,おてあらい,toilet; restroom,1
弟,おと,younger sibling; younger brother (of an older brother),1
落とす,おとす,to drop; to lose,1
訪れる,おとずれる,to visit; to call on,1
大人しい,おとなしい,gentle; quiet,1
少女,おとめ,(young) girl; maiden,1
お供,おとも,attendant; companion,1
衰える,おとろえる,to become weak; to decline,1
おどおど,おどおど,timidly; nervously,1
脅かす,おどかす,to threaten; to menace,1
脅す,おどす,to threaten; to menace,1
驚き,おどろき,surprise; astonishment,1
同い年,おないどし,the same age,1
女子,おなご,girl; vagina,1
お願いします,おねがいします,please,1
各,おのおの,each; you (plural),1
自ずから,おのずから,naturally; in due course,1
お早う,おはよう,good morning,1
お祖母さん,おばあさん,grandmother; old woman,1
怯える,おびえる,to become frightened; to be frightened (of),1
夥しい,おびただしい,large number; innumerable,1
帯びる,おびる,"to wear (a sword, decoration, etc.); to carry",1
覚え,おぼえ,memory; sense,1
御負け,おまけ,something thrown in (with a purchase); something extra,1
お巡りさん,おまわりさん,police officer,1
お宮,おみや,Shinto shrine,1
お襁褓,おむつ,diaper; nappy,1
お目出度う,おめでとう,Japanese sweets made with glutinous rice and azuki bean paste; congratulations!,1
面,おも,looking like a ...; acting as if a ...,1
思い付き,おもいつき,idea; plan,1
面白い,おもしろい,interesting; fascinating,1
玩具,おもちゃ,toy; (person or thing treated as a) plaything,1
重なる,おもなる,to be piled up; to lie on top of one another,1
趣,おもむき,meaning; tenor,1
赴く,おもむく,to go in the direction of; to proceed toward,1
重役,おもやく,(company) director; executive,1
重んじる,おもんじる,to respect; to honor,1
重んずる,おもんずる,to honor; to honour,1
お休み,おやすみ,holiday; day off,1
お八,おやつ,between-meal snack; mid-afternoon (around 3 o'clock) snack,1
凡そ,およそ,about; roughly,1
及び,および,and; as well as,1
及ぶ,およぶ,to reach; to amount to,1
織,おり,weave; weaving,1
檻,おり,cage; pen,1
折り返す,おりかえす,"to turn up (hem, sleeves, etc.); to fold back (e.g. page)",1
織物,おりもの,textile; fabric,1
織る,おる,to weave,1
俺,おれ,I; me,1
愚か,おろか,foolish; stupid,1
疎か,おろそか,not to mention ...; needless to say ...,1
終わる,おわる,to end; to come to an end,1
音色,おんいろ,tone color; tone colour,1
温和,おんわ,mild (climate); temperate,1
仮,か,lacking substance and existing in name only; something without substance,1
科,か,error; mistake,1
個,か,counter used with Sino-Japanese words; general-purpose counter,1
下位,かい,low rank; lower position,1
階,かい,stairs; stairs at the front of a noh stage,1
改悪,かいあく,changing (something) for the worse; disimprovement,1
