Rank,Hebrew,English,cefr_level,confidence,source
1,של,of / belongs to,C1,0.404,model_predicted
2,את,you (f.s.) / the (direct object),A1,0.851,model_predicted
3,על,on / about / top,A1,0.639,model_predicted
4,לא,no,A1,0.599,model_predicted
5,הוא,he,A1,0.803,model_predicted
6,עם,with / people / nation,B2,1.0,concordance
7,כי,because,A1,0.448,model_predicted
8,היה,was (m.s.),A2,0.447,model_predicted
9,זה,this / that,A1,0.788,model_predicted
10,גם,also / too,A1,1.0,concordance
11,ב,in,A1,0.463,model_predicted
12,כל,all,A1,1.0,concordance
13,ה,the,A1,0.71,model_predicted
14,בין,between / among / within,A2,0.322,model_predicted
15,או,or,A1,0.758,model_predicted
16,אל,to / God / don't,A2,0.421,model_predicted
17,אך,but / hardly,A1,0.546,model_predicted
18,יותר,more,A1,0.636,model_predicted
19,היא,she,A1,0.841,model_predicted
20,לאחר,after / to be late / to/for the other,A1,0.511,model_predicted
21,אבל,but / mourning / mourner,A1,0.546,model_predicted
22,ל,to / to the,B2,0.409,model_predicted
23,היו,were (m.),A1,0.62,model_predicted
24,עד,until / eternity / witness,A1,0.319,model_predicted
25,זו,this (f.),A1,0.788,model_predicted
26,הם,they (m.),A1,0.721,model_predicted
27,אשר,that / which,A1,0.795,model_predicted
28,הייתה,she was,A1,0.841,model_predicted
29,בשנת,in the year [X] / in the year of,A1,0.821,model_predicted
30,כך,so / like this / thus,A1,0.662,model_predicted
31,רק,only,A1,0.742,model_predicted
32,אף,also / even / nose,A1,1.0,concordance
33,ביותר,"most, very much",A1,0.488,model_predicted
34,אני,I / me,A1,0.506,model_predicted
35,עוד,more / musical instrument,A2,1.0,concordance
36,רבים,many / fighting (m.pl.),A1,0.618,model_predicted
37,כמו,like / as,A1,0.662,model_predicted
38,בית,home / house,A1,0.832,model_predicted
39,אם,if / mother,A1,0.818,model_predicted
40,זאת,this (f.),A1,0.788,model_predicted
41,שם,there / name,A1,1.0,concordance
42,יש,there is / one must,A1,0.782,model_predicted
43,מה,what,A1,0.776,model_predicted
44,לי,to me / for me,A1,0.302,model_predicted
45,כן,yes / sincere / stand (n.),A2,1.0,concordance
46,כ,like / as / approximately,A1,0.662,model_predicted
47,לו,to him / if (wishing),A1,0.795,model_predicted
48,מספר,number / tell (m.s.) / narrator,A1,0.734,model_predicted
49,בו,in him / in it,A1,0.795,model_predicted
50,העיר,the city / made a comment / woke someone up (m.s.),A1,0.732,model_predicted
51,מ,from,A1,0.672,model_predicted
52,כדי,in order to,A2,0.498,model_predicted
53,אותו,him / it,A1,0.795,model_predicted
54,דבר,thing / matter / something / word / speech / saying / command / to speak / to say / plague / speak (m.s. imperative),A1,0.733,model_predicted
55,ו,and,A1,0.616,model_predicted
56,בכל,in all / at all,A1,1.0,concordance
57,אלו,these,A1,0.728,model_predicted
58,שני,second / two / scarlet,A1,0.619,model_predicted
59,אלה,these / goddess / bat,A1,0.728,model_predicted
60,כאשר,when / while,A1,0.801,model_predicted
61,אין,there is no / nothing / naught / where,A1,0.782,model_predicted
62,אמר,said (m.s.),A1,0.426,model_predicted
63,באופן,in a way,A1,0.731,model_predicted
64,הברית,the pact / the alliance / the covenant / the circumcision,B2,0.44,model_predicted
65,מן,from,A1,0.672,model_predicted
66,שלא,that [is] not,A1,0.795,model_predicted
67,ידי,my hands / my hand / the hands of,A1,1.0,concordance
